275,169,380,292
281,161,390,283
266,185,368,318
299,214,387,340
285,208,383,327
277,166,385,291
276,189,371,315
281,180,388,305
283,182,386,309
277,173,385,301
286,190,376,309
282,160,390,282
268,193,365,319
277,174,380,297
308,224,382,337
274,195,365,322
266,185,368,318
283,162,382,284
284,164,386,282
272,187,369,319
280,170,386,290
277,174,380,296
282,160,389,282
273,192,368,317
283,162,382,284
273,192,370,320
296,225,378,336
273,192,368,317
279,177,388,302
278,175,384,300
266,185,368,318
283,165,385,283
275,168,381,292
287,198,379,315
267,191,368,321
270,188,370,322
273,192,368,316
297,213,386,339
269,191,364,323
283,213,384,331
273,192,370,320
278,170,388,292
269,190,365,323
270,189,369,323
286,188,377,308
281,161,388,282
268,190,368,321
272,187,371,317
273,178,376,308
275,191,370,317
282,181,387,308
278,174,385,299
276,166,384,290
269,194,365,320
286,208,384,328
269,190,365,323
269,194,365,320
276,170,386,298
270,192,365,319
295,225,378,336
284,203,379,319
276,190,371,316
285,208,384,328
267,193,365,320
275,170,386,298
269,189,370,322
309,224,383,337
265,185,368,318
277,177,381,304
277,175,383,301
275,170,385,298
283,213,385,332
280,161,389,283
291,211,390,340
294,224,377,336
286,197,379,314
269,194,365,320
275,194,366,321
279,170,387,291
281,170,386,288
272,187,371,317
276,170,382,299
276,167,384,294
277,174,384,301
290,210,389,339
276,166,384,293
270,192,366,324
272,186,370,319
282,160,391,282
277,166,386,291
298,214,387,340
266,185,369,318
284,213,386,332
280,162,388,284
307,224,381,337
281,212,383,330
297,214,386,339
275,196,360,323
268,188,368,322
278,174,385,298
286,203,379,318
272,181,374,311
307,224,381,337
311,227,384,339
284,164,387,282
277,166,385,292
284,164,387,282
282,165,384,283
268,189,367,322
310,227,383,339
285,196,379,313
284,208,382,327
267,186,369,322
268,190,367,322
276,167,384,294
274,195,365,322
268,190,368,321
274,170,380,292
277,173,378,296
284,164,387,282
283,164,381,287
272,187,369,319
269,192,365,319
269,194,365,321
291,211,391,340
267,183,370,320
276,167,384,294
309,228,382,339
268,190,368,321
278,174,382,297
275,194,366,321
274,170,379,292
269,191,364,323
275,170,380,292
273,192,368,316
296,225,378,336
282,160,389,282
276,173,385,300
267,193,365,320
273,178,376,309
295,225,378,336
267,184,370,320
269,190,365,323
267,184,370,320
276,189,372,315
289,199,380,317
285,184,379,305
280,161,387,282
268,189,369,322
311,227,384,339
278,174,381,297
308,224,383,337
269,194,365,320
283,162,382,284
268,189,370,322
281,160,388,282
274,170,379,292
275,196,361,324
299,222,384,340
272,179,375,310
308,224,383,337
284,204,380,321
277,176,382,303
283,162,382,285
298,220,385,339
272,187,369,319
283,160,392,281
294,215,387,333
273,192,370,320
267,187,369,322
309,228,383,339
268,193,365,320
297,218,385,338
290,210,390,339
273,193,370,320
280,178,388,303
274,170,379,292
283,160,392,282
269,189,370,322
270,192,364,319
276,170,382,299
278,174,383,297
294,217,388,333
273,192,368,316
276,166,384,293
291,210,391,340
275,170,379,292
269,192,365,319
274,193,368,320
273,192,368,316
269,190,365,323
288,199,379,317
272,180,375,310
283,163,381,286
267,184,370,320
281,169,386,287
275,170,384,298
268,193,365,320
275,196,360,324
272,193,370,320
284,203,380,320
274,170,381,292
294,217,387,333
296,213,386,339
283,207,382,326
269,192,365,319
277,170,381,298
297,217,386,338
272,188,370,318
272,189,369,318
281,161,388,282
298,221,384,340
282,160,389,282
275,196,360,323
269,192,365,319
275,196,360,323
273,192,368,316
275,191,369,318
270,188,370,322
272,179,376,309
278,175,384,302
275,168,382,291
295,225,377,336
277,170,380,297
281,169,386,287
268,189,369,322
272,187,371,317
294,216,387,333
269,194,365,321
277,170,381,298
267,184,370,321
286,189,377,308
268,193,365,320
270,189,369,323
284,204,380,321
271,182,372,313
266,185,369,318
272,185,370,319
267,191,367,320
275,194,366,321
284,213,387,332
294,215,387,333
270,189,370,322
275,169,105,123
281,161,109,122
266,185,102,133
299,214,88,126
285,208,98,119
277,166,108,125
276,189,95,126
281,180,107,125
283,182,103,127
277,173,108,128
286,190,90,119
282,160,108,122
268,193,97,126
277,174,103,123
308,224,74,113
274,195,91,127
266,185,102,133
283,162,99,122
284,164,102,118
272,187,97,132
280,170,106,120
277,174,103,122
282,160,107,122
273,192,95,125
283,162,99,122
273,192,97,128
296,225,82,111
273,192,95,125
279,177,109,125
278,175,106,125
266,185,102,133
283,165,102,118
275,168,106,124
287,198,92,117
267,191,101,130
270,188,100,134
273,192,95,124
297,213,89,126
269,191,95,132
283,213,101,118
273,192,97,128
278,170,110,122
269,190,96,133
270,189,99,134
286,188,91,120
281,161,107,121
268,190,100,131
272,187,99,130
273,178,103,130
275,191,95,126
282,181,105,127
278,174,107,125
276,166,108,124
269,194,96,126
286,208,98,120
269,190,96,133
269,194,96,126
276,170,110,128
270,192,95,127
295,225,83,111
284,203,95,116
276,190,95,126
285,208,99,120
267,193,98,127
275,170,111,128
269,189,101,133
309,224,74,113
265,185,103,133
277,177,104,127
277,175,106,126
275,170,110,128
283,213,102,119
280,161,109,122
